prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19232,PRODUCT_021985_002,8617595*PED,2026-08-19 00:00:00,0,0,,0,
19237,PRODUCT_021936_001,8733341*PED,2031-04-16 00:00:00,0,0,,0,
19238,PRODUCT_203045_002,7169780*PED,2024-04-03 00:00:00,0,0,,0,
19239,PRODUCT_203045_002,7217713*PED,2023-04-21 00:00:00,0,0,,0,
19240,PRODUCT_203045_002,7754731*PED,2029-09-11 00:00:00,0,0,,0,
19241,PRODUCT_203045_001,7435734*PED,2023-04-21 00:00:00,0,0,,0,
19242,PRODUCT_205786_001,7435734*PED,2023-04-21 00:00:00,0,0,,0,
19243,PRODUCT_207027_001,7452874*PED,2021-11-24 00:00:00,0,0,,0,
19244,PRODUCT_207027_001,7795293*PED,2023-11-24 00:00:00,0,0,,0,
19245,PRODUCT_208694_001,9254286*PED,2033-01-09 00:00:00,0,0,,0,
19246,PRODUCT_206510_001,7169780*PED,2024-04-03 00:00:00,0,0,,0,
19247,PRODUCT_206756_001,7837235*PED,2028-09-13 00:00:00,0,0,,0,
19248,PRODUCT_204824_001,9629959,2026-01-24 00:00:00,0,1,,0,2017-05-25 00:00:00
19249,PRODUCT_206627_002,9675610,2023-06-16 00:00:00,0,1,,0,2017-07-12 00:00:00
19250,PRODUCT_021148_011,9687611,2027-02-27 00:00:00,0,1,,0,2017-09-06 00:00:00
19252,PRODUCT_208400_001,9259427,2033-01-02 00:00:00,0,1,,0,2017-05-12 00:00:00
19254,PRODUCT_206627_003,9775809,2027-08-24 00:00:00,0,1,,0,2017-10-04 00:00:00
19255,PRODUCT_209115_003,9045487,2031-02-10 00:00:00,1,1,,0,2017-05-09 00:00:00
19256,PRODUCT_208798_003,7540282,2023-05-06 00:00:00,0,1,,0,2017-01-30 00:00:00
19257,PRODUCT_205831_007,9801823,2019-12-16 00:00:00,0,1,,0,2017-11-29 00:00:00
19258,PRODUCT_208745_001,7799897,2022-06-09 00:00:00,1,0,,0,2017-02-14 00:00:00
19259,PRODUCT_201635_001,9622983,2027-11-16 00:00:00,0,1,U-1992,0,2017-04-20 00:00:00
19260,PRODUCT_202292_001,9585868,2031-10-31 00:00:00,0,0,U-1319,0,2017-07-24 00:00:00
19261,PRODUCT_208383_001,8691847,2020-09-15 00:00:00,1,1,U-2029,0,2017-07-21 00:00:00
19262,PRODUCT_208383_001,9629831,2020-09-15 00:00:00,0,0,U-2030,0,2017-07-21 00:00:00
19263,PRODUCT_208383_001,9555023,2026-11-07 00:00:00,0,0,U-1502,0,2017-07-21 00:00:00
