id,city,distance,hotelNames,location,rate,reviewNumbers
5, Kuala Lumpur,"0.9 miles from center","Sunway Resort Hotel & Spa", Kuala Lumpur, Excellent ," 4,209 reviews "
6," Sri Hartamas, Kuala Lumpur","8.7 miles from center","Dorsett Hartamas Kuala Lumpur"," Sri Hartamas, Kuala Lumpur", Very Good , 959 reviews
7, Kuala Lumpur,"3.1 miles from center","Sunway Pyramid Hotel", Kuala Lumpur, Very Good ," 3,262 reviews "
8," Downtown Kuala Lumpur, Kuala Lumpur","8.7 miles from center","Hawk Hotel & Hostel"," Downtown Kuala Lumpur, Kuala Lumpur", Very Good , 128 reviews
9," Bukit Bintang, Kuala Lumpur","0.7 miles from center","Grand Millennium Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Very Good ," 2,969 reviews "
10," Mid Valley, Kuala Lumpur","2,950 feet from center","The Gardens – A St Giles Signature Hotel & Residences, Kuala Lumpur"," Mid Valley, Kuala Lumpur", Very Good ," 1,761 reviews "
11, Kuala Lumpur,"3.1 miles from center","The Saujana Kuala Lumpur", Kuala Lumpur, Very Good , 571 reviews
12," Downtown Kuala Lumpur, Kuala Lumpur","3.1 miles from center","Le Apple Boutique Hotel @ KLCC"," Downtown Kuala Lumpur, Kuala Lumpur", Good ," 2,283 reviews "
13, Kuala Lumpur,"9.3 miles from center","Kitez Hotel & Bunkz", Kuala Lumpur, Excellent , 305 reviews
14," Ampang, Kuala Lumpur","0.6 miles from center","OYO 478 The Green Hotel"," Ampang, Kuala Lumpur", Good , 110 reviews
15," KL Sentral Train Station, Kuala Lumpur","1 miles from center","Aloft Kuala Lumpur Sentral"," KL Sentral Train Station, Kuala Lumpur", Awesome ," 4,393 reviews "
16, Kuala Lumpur,"3.1 miles from center","Pacific Express Hotel Chinatown", Kuala Lumpur, Very Good , 317 reviews
17," Downtown Kuala Lumpur, Kuala Lumpur","2.5 miles from center","Shangri-La Hotel Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Awesome ," 3,527 reviews "
18, Kuala Lumpur,"2.1 miles from center","Sunway Clio Hotel", Kuala Lumpur, Excellent , 772 reviews
19," Mont Kiara, Kuala Lumpur","1 miles from center","Hyatt House Kuala Lumpur, Mont Kiara"," Mont Kiara, Kuala Lumpur", Awesome , 520 reviews
20, Kuala Lumpur,"3.1 miles from center","Space Hotel @ Chinatown Kuala Lumpur", Kuala Lumpur, Awesome ," 1,321 reviews "
21," Brickfields, Kuala Lumpur","500 feet from center","Royce Hotel @ KL Sentral"," Brickfields, Kuala Lumpur", Good , 185 reviews
22," Ampang, Kuala Lumpur","8.7 miles from center","Arte Plus By FIFI Serviced Suite KLCC"," Ampang, Kuala Lumpur", Review score , 783 reviews
23," Downtown Kuala Lumpur, Kuala Lumpur","3.7 miles from center","Four Seasons Hotel Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Awesome , 650 reviews
24," Brickfields, Kuala Lumpur","1 miles from center","Hotel Sentral @ KL Sentral Station"," Brickfields, Kuala Lumpur", Good ," 4,394 reviews "
25," KL Sentral Train Station, Kuala Lumpur","2.1 miles from center","Aloft Kuala Lumpur Sentral"," KL Sentral Train Station, Kuala Lumpur", Awesome ," 4,393 reviews "
26, Kuala Lumpur,"1 miles from center","Pacific Express Hotel Chinatown", Kuala Lumpur, Very Good , 317 reviews
27," Downtown Kuala Lumpur, Kuala Lumpur","3.1 miles from center","Shangri-La Hotel Kuala Lumpur"," Downtown Kuala Lumpur, Kuala Lumpur", Awesome ," 3,527 reviews "
28, Kuala Lumpur,"500 feet from center","Sunway Clio Hotel", Kuala Lumpur, Excellent , 772 reviews
29," Mont Kiara, Kuala Lumpur","8.7 miles from center","Hyatt House Kuala Lumpur, Mont Kiara"," Mont Kiara, Kuala Lumpur", Awesome , 520 reviews
