Breed;Color;Date;DateCreated;Name;Sex;State
Persian;White;2013-05-08;2013-05-08;Kiska;F;Lost
Fox Terrier;White;2013-05-08;2013-05-08;Ollie;M;Lost
DSH;Black;2013-05-09;2013-05-09;Ducky;M;Lost
Basset Hound;White;2013-05-10;2013-05-10;Baxter;M/N;Lost
Pomeranian;Tan;2013-05-11;2013-05-11;Truffles;M;Lost
DSH;Dark Grey;2013-05-09;2013-05-13;Max;M/N;Matched
Cockatiel;Yellow/Grey/White;2013-05-09;2013-05-13;Phillips;X;Lost
Border Collie;Black w/4 White Paws;2013-05-16;2013-05-16;Mishu;M/N;Matched
Pit Bull;Tan;2013-05-18;2013-05-18;Angel;F;Lost
Shih Tzu;Black;2013-05-18;2013-05-18;Mitzi;F;Lost
Rat Terrier;White w/Brown Spots;2013-05-21;2013-05-21;Kiwi;M/N;Matched
German Shepherd;Black/Tan;2013-05-21;2013-05-22;Chubby;M/N;Matched
Parrot;Grey / Green / Orange Chest;2013-05-23;2013-05-23;Indy;M;Lost
Toy Poodle;Black;2013-08-04;2013-05-25;Yopi;M/N;Matched
Shih Tzu;Black;2013-05-27;2013-05-28;Techno;M/N;Lost
DSH;Grey;2013-05-21;2013-05-29;Aussie;M/N;Lost
Lion Head;White;2013-05-29;2013-05-29;?;X;Lost
Maltese;White;2013-05-30;2013-05-30;Nimbus;M;Lost
Siberian Husky;Black;2013-05-27;2013-05-30;Blitzen;M/N;Lost
Amer. Staffordshire;White;2013-05-24;2013-05-30;Sheila;F;Lost
Tabby - DSH;Black;2013-05-28;2013-05-31;Sophie;F/S;Lost
Maltese;Cream;2013-05-31;2013-05-31;Romeo;M/N;Matched
Pomeranian;Tan;2013-06-01;2013-06-01;Napoleon;M;Matched
Labrador;Yellow;2013-06-02;2013-06-02;Sami;F/S;Lost
DSH;Grey;2013-06-04;2013-06-04;Rubin;M/N;Lost
Great Pyrenees;Tan;2013-06-04;2013-06-04;Sasha;F/S;Lost
Yorkshire Terrier;Grey;2013-06-05;2013-06-05;Rosie;F;Lost
Germ. Shepherd;Black;2013-06-07;2013-06-07;Stella;F/S;Matched
Rottweiler;Black;2013-06-07;2013-06-07;Rosco;M;Lost
DSH;Black;2013-06-02;2013-06-07;Dakota;M/N;Lost
Shetland Sheepdog;Brown;2013-06-07;2013-06-07;Choco;F/S;Matched
Pit Bull;Grey;2013-06-07;2013-06-08;Brody;M;Lost
Germ. S/Haired Pointer;Red;2013-06-09;2013-06-09;;F/S;Matched
DSH;White;2013-06-10;2013-06-10;Jaeger;M;Lost
French Bulldog;Tan;2013-06-13;2013-06-13;Rocky;M/N;Matched
DSH;White;2013-06-17;2013-06-17;Reginald;M/N;Lost
Tabby (DSH);Grey Striped;2013-06-17;2013-06-17;Harry;M/N;Lost
Labrador;;2013-06-21;2013-06-22;Libby;F/S;Matched
Border Collie;;2013-06-23;2013-06-23;Taff;M/N;Matched
Shih Tzu;White;2013-06-24;2013-06-24;Pandi;F/S;Lost
NS Duck Toll. Retriever;Red;2013-06-26;2013-06-26;Shiraa;F/S;Matched
Fox Terrier;Black;2013-06-26;2013-06-27;Timo ?;M;Matched
Pomeranian;Golden;2013-06-29;2013-06-29;Gucci;M/N;Lost
DLH Maine Coon Cat;Brown;2013-07-02;2013-07-02;Maybelline;F/S;Lost
Dachshund;Black;2013-07-02;2013-07-02;Olive;F/S;Lost
DSH;White;2013-06-22;2013-07-04;Snoopy;M/N;Lost
Germ. Shepherd;Black;2013-07-04;2013-07-04;Diamond;F;Lost
Whippet;White;2013-07-06;2013-07-06;Ginger;F;Matched
Shiba Inu;Red;2013-07-07;2013-07-08;;M/N;Matched
Bichon Frise;White;2013-07-07;2013-07-08;PaPa;M/N;Lost
DLH;Brown/Black Tabby;2013-07-05;2013-07-08;Amber;F/S;Lost
DSH;Black;2013-07-09;2013-07-09;Gabo;M/N;Lost
Shih Tzu;Brown;2013-07-09;2013-07-09;Kookie;F;Lost
Goldendoodle;Brown;2013-07-09;2013-07-09;Kovu;M;Matched
Goldendoodle;Golden;2013-07-09;2013-07-09;Llama;M/N;Matched
Standard Poodle;Tan;2013-07-15;2013-07-16;Katie;F/S;Lost
Germ. Shepherd;Black;2013-07-16;2013-07-16;Phoenix;M/N;Matched
DSH;Grey;2013-07-12;2013-07-16;?;F/S;Lost
DSH;Orange Tabby;2013-06-16;2013-07-16;Boomer;M/N;Lost
DSH;Orange/White;2013-07-10;2013-07-17;Flinky;M/N;Lost
Cat -Himalayan X;White;2013-07-18;2013-07-19;Jasper;M/N;Lost
Shar-Pei;Cream;2013-07-21;2013-07-21;Sanjee;M;Lost
DSH;Black;2013-07-22;2013-07-22;Starlit;F/S;Lost
Toy Poodle;Black;2013-07-22;2013-07-22;Baby;F/S;Lost
Toy Poodle;White;2013-07-26;2013-07-27;Mukha;F/S;Matched
DLH;Cream;2013-07-27;2013-07-27;Lola;F/S;Lost
Miniature Pinscher;Tan;2013-07-27;2013-07-27;Rue;F/S;Lost
Jack Russell Terrier;;2013-07-28;2013-07-28;Robby;F/S;Matched
Shepherd;Tan;2013-07-27;2013-07-29;Sasha;F/S;Matched
DSH;Grey;2013-07-30;2013-07-30;Little Cat;M;Lost
Border Collie;Black;2013-07-30;2013-07-30;Tess;F;Lost
DSH;White;2013-07-31;2013-07-31;Lady Baroness;F/S;Lost
Persian;Grey;2013-07-31;2013-08-01;?;;Lost
Jack Russell Terrier;White;2013-07-01;2013-08-01;Oliver;M/N;Lost
Aust. Shepherd;Black;2013-08-01;2013-08-01;Piston;;Lost
Miniature Dachshund;Tan;2013-08-01;2013-08-02;;M/N;Lost
Chihuahua;Cream;2013-08-02;2013-08-02;Rocky;;Lost
Siamese X;White;2013-07-30;2013-08-03;?;M/N;Lost
Eng. Springer Spaniel;Liver;2013-08-04;2013-08-04;Juno;F;Lost
Shepherd;Black;2013-08-04;2013-08-04;ADA;F/S;Matched
Labrador;Brown;2013-08-04;2013-08-04;Coco;F;Lost
DSH;White;2013-08-04;2013-08-06;;F;Lost
Coonhound;Black;2013-08-08;2013-08-08;Dave;M/N;Lost
DSH;Calico;2013-08-07;2013-08-08;;F;Lost
Red Heeler;Brown;2013-08-08;2013-08-08;Kora;F;Matched
Airedale;Black;2013-08-09;2013-08-09;Rudy;M/N;Lost
DSH;Calico;2013-08-10;2013-08-10;Kiki;F;Lost
DSH;Black;2013-08-11;2013-08-11;;M/N;Matched
Miniature Pinscher;Brown;2013-08-12;2013-08-12;Monty;M;Matched
DSH (Egyptian Mau);Golden Black;2013-08-11;2013-08-14;Laksmi;F;Lost
Germ. Shepherd;Black;2013-08-14;2013-08-14;Hugo;M;Matched
Chihuahua;Cream;2013-08-14;2013-08-14;Flora;F;Lost
Terrier;Black;2013-08-14;2013-08-15;Rufus;M;Matched
DMH;Grey Tabby;2013-08-10;2013-08-15;Cornelious;M;Lost
DSH;Black;2013-08-12;2013-08-16;Jacob;M/N;Lost
Corgi;Tan;2013-08-16;2013-08-16;Lucky;M;Lost
DSH;Charcoal;2013-08-15;2013-08-17;Leonard Nemoy;M;Lost
Golden Retriever;Golden;2013-08-18;2013-08-18;Lexus;F;Lost
Toy Poodle;Brown;2013-08-18;2013-08-19;Brownie;M;Lost
Goldendoodle;Cream;2013-08-19;2013-08-19;Yogi;M;Lost
Miniature Pinscher;Black;2013-08-20;2013-08-20;Turbo;M;Lost
Tabby;Grey;2013-08-20;2013-08-21;Elliott;M/N;Lost
DMH Cat;Black;2013-08-22;2013-08-22;Princess;F/S;Lost
Cocker Spaniel;Cream;2013-08-19;2013-08-22;Jack;M;Lost
Labrador;Brown;2013-08-22;2013-08-22;wes;M;Lost
Malamute;Black;2013-08-22;2013-08-23;Aziza;F;Lost
Germ. Shepherd;Brown;2013-08-27;2013-08-27;China;F/S;Matched
Pomeranian;Golden;2013-08-28;2013-08-28;;;Lost
DSH;Black;2013-08-19;2013-08-28;Tubby;M;Lost
Rottweiler;;2013-08-29;2013-08-29;;F;Lost
Rottweiler;Black;2013-08-30;2013-08-30;Kira;F;Lost
Poodle;Brown;2013-08-30;2013-08-30;Toffy;F;Lost
Pomeranian;Golden;2013-08-30;2013-08-30;Xiong Xiong;X;Lost
Yorkshire Terrier;Golden;2013-08-30;2013-08-31;Georgie;M;Lost
Yorkshire Terrier;Brown;2013-09-02;2013-09-02;Cholong;F;Matched
DSH Tabby Cat;Tan;2013-09-03;2013-09-03;Mickey;M;Matched
DSH Cat;Apricot;2013-09-01;2013-09-03;Pewi;M;Lost
DSH;Grey;2013-09-03;2013-09-03;Mortimer;M/N;Lost
Tabby;Grey;2013-08-31;2013-09-05;?;M;Lost
Labrador;Black;2013-09-06;2013-09-06;Sky;M;Lost
Pug;Tan;2013-09-08;2013-09-08;Oinks;M;Matched
Terrier;;2013-09-08;2013-09-08;;F;Lost
Pug;Tan;2013-09-09;2013-09-09;Bambam;M;Matched
DLH;White;2013-09-09;2013-09-09;Shelby;F/S;Lost
Terrier;Black;2013-09-09;2013-09-09;Cash;M;Lost
Yorkshire Terrier;White;2013-09-10;2013-09-10;Axel;M;Lost
Brittany Spaniel;White;2013-09-10;2013-09-10;Ruby;F;Lost
Small Tabby;Grey;2013-09-09;2013-09-12;Molly;F;Lost
Miniature Pinscher;Brown;2013-09-12;2013-09-12;Buddy;M/N;Lost
Gray Russian;Grey;2013-09-13;2013-09-13;Jackie Fan;M;Lost
Jack Russell Terrier;White;2013-09-13;2013-09-13;Chaos;M/N;Lost
Pomeranian;Tan;2013-09-13;2013-09-13;Juicy;M;Lost
Beagle X;Red;2013-09-14;2013-09-14;Mika;M;Lost
Pit X;Tan;2013-09-15;2013-09-15;Dina (Randy);F;Matched
Jack Russell Terrier;Tan;2013-09-16;2013-09-16;Jack;M;Lost
Wheaten Terrier;Golden;2013-09-17;2013-09-17;Roz;F;Lost
Doberman Pinscher;Brown;2013-09-17;2013-09-20;Pharoah;M/N;Lost
Maltipoo;White;2013-09-20;2013-09-20;Toffee;F;Lost
Labrador;Black;2013-09-14;2013-09-21;Puppy;M;Lost
Dachshund;Brown;2013-08-10;2013-09-23;Kimmy;F;Lost
DLH;Dusty Brown (Tortoiseshell);2013-08-10;2013-09-23;Kimmi;F;Lost
Rottie X;Black;2013-09-26;2013-09-26;Baby;F/S;Lost
DSH Cat;Black;2013-09-16;2013-09-27;Monkey;M;Lost
DMH Cat;Grey;2013-09-26;2013-09-28;Theo;M;Lost
DSH;Black;2013-09-29;2013-09-29;Reggie;M;Lost
DSH;Black;2013-09-27;2013-10-01;Unknown;F/S;Lost
DSH;Brown;2013-10-02;2013-10-02;India;F;Lost
Jack Russell Terrier;White;2013-10-03;2013-10-03;Jasper;M;Matched
Short Hair;Black;2013-10-03;2013-10-03;Finn;M/N;Lost
Poodle X;Grey;2013-10-05;2013-10-05;Ozzy;M;Matched
Mastiff X;White;2013-10-05;2013-10-05;Nala;F;Matched
Border Collie;Brown;2013-10-06;2013-10-06;Jeremy Parsons;M;Lost
African Grey Parrot;Grey;2013-10-13;2013-10-13;Cairo;F;Lost
DSH;Black;2013-10-14;2013-10-14;;M;Lost
Beagle;White;2013-10-14;2013-10-15;Vito;M;Lost
DSH Cat;Black;2013-10-15;2013-10-15;Monday;F;Lost
DSH Cat;White;2013-10-15;2013-10-15;Snowball;F;Lost
Cockatiel;Grey;2013-10-15;2013-10-15;Charlotte;F;Lost
Rottie X;Black;2013-10-16;2013-10-16;Puppy;M;Matched
DLH;Grey/White;2012-07-21;2012-07-22;Lola;F/S;Lost
Shepherd X;Black and White;2012-07-22;2012-07-22;Simon;M;Matched
Terrier X Schnauzer X;Black/Grey;2012-07-26;2012-07-26;BJ;M/N;Matched
DSH;Black/ White Chest and Leg;2012-07-26;2012-07-26;Charlie;M/N;Matched
Cockatiel;White/Yellow;2012-07-26;2012-07-27;Simon;M;Lost
Tabby;White/Grey;2012-07-29;2012-07-29;Dubie;M/N;Lost
DLH;White;2012-07-26;2012-07-30;Rumpie;F/S;Lost
Doberman Pincher;Black/Tan;2012-08-01;2012-08-01;Naobi;F;Lost
Shiba Inu;Red;2012-08-01;2012-08-01;Kita;M;Lost
German Shepherd;White;2012-08-01;2012-08-02;Jack;M/N;Lost
Tabby;Orange/White;2012-08-02;2012-08-03;Nandu;M/N;Lost
DSH;White w/Black Markings;2012-08-05;2012-08-07;Dexter;M/N;Lost
DSH;Black/Brown/White;2012-08-05;2012-08-08;Moonshine;F/S;Lost
Maine Coon X;Black Back w/Striped Body;2012-08-03;2012-08-08;Harlow;M/N;Lost
Airdale Terrier;Black/Tan;2012-08-08;2012-08-08;Jordon;F/S;Lost
Mini Schnauzer;Silver;2012-08-05;2012-08-09;Izzy;F/S;Lost
Tabby;Beige/Brown;2012-08-10;2012-08-10;Aiko;F/S;Lost
German Pincher;Black/Brown;2012-08-10;2012-08-10;Diesel;M/N;Matched
Chihuahua X Japanese Chin;Black/White;2012-08-11;2012-08-11;Haro;M;Lost
mini poodle;Black;2012-08-11;2012-08-11;Jiggle Bell;F;Matched
Boxer;Brown/White;2012-08-11;2012-08-11;Nelson;M;Lost
Husky;Brown/Black;2012-08-11;2012-08-12;Lily;F;Lost
Pitbull/Lab;;2012-08-12;2012-08-12;Yanni;;Lost
Maltipoo;White;2012-08-12;2012-08-13;Duggy;M/N;Matched
Cockatiel;Grey/White;2012-08-10;2012-08-13;Angel;M;Lost
Tabby;Grey/White;2012-08-07;2012-08-13;Newton;M/N;Lost
Cockatiel;Grey/Yellow;2012-08-13;2012-08-14;Peekaboo;M;Lost
DSH;Black;2012-08-08;2012-08-14;Firetuck;M/N;Lost
DSH;Black/White;2012-08-09;2012-08-14;Spooky;F/S;Lost
DLH;Black;2012-08-12;2012-08-16;Molly;F/S;Lost
Scottie X Poodle;White;2012-08-18;2012-08-18;Bella;F/S;Matched
Shih Tzu;White;2012-08-19;2012-08-19;Fluffy;M;Lost
Pit Bull;Grey and White;2012-08-22;2012-08-22;Simone;F;Matched
DSH;Dark Gray;2012-08-20;2012-08-22;Gemini;F;Lost
Pomeranian;Blonde/Tan w/White Chest;2012-08-19;2012-08-22;Yuki;F/S;Lost
DMH;Ginger & White;2012-08-23;2012-08-24;Paloma;F/S;Lost
Mottle Siamese X;Grey;2012-08-24;2012-08-24;Zuzu;F;Lost
DSH;Beige/White/Brown;2012-08-22;2012-08-24;Simba;M/N;Lost
Persian;Orange;2012-08-28;2012-08-28;Moufasa;M/N;Lost
DMH;Grey;2012-08-29;2012-08-29;Jaden;M/N;Lost
DLH;Orange;2012-08-30;2012-08-31;Goldie;F;Lost
Shiba Inu;Unknown;2012-09-02;2012-09-02;Mikko;F;Lost
French Bull dog;Brown/Black;2012-09-04;2012-09-04;Rocky;M;Lost
Pomeranian X;Light Beige;2012-09-04;2012-09-05;Unknown;F;Lost
Boston Terrier;Black/White;2012-09-06;2012-09-06;Garick;M/N;Lost
Chihuahua;Light Tan;2012-09-08;2012-09-09;Millie;F/S;Lost
DSH cat (kitten);Grey & white;2012-09-10;2012-09-10;Pippy;F;Lost
Poodle X;Black/White (Curly Hair);2012-09-11;2012-09-11;Shadow;M/N;Lost
DSH;White/grey;2012-09-13;2012-09-15;Kitty;F;Lost
DMH;Black/White;2012-08-25;2012-09-18;Sevie;F/S;Lost
DSH Cat;Black/White;2012-09-17;2012-09-19;Jorge (Horhay);M/N;Lost
Lab;Chocolate;2012-09-21;2012-09-21;Latte;F/S;Matched
Chihuahua/Poodle X;White;2012-09-22;2012-09-22;Penny;F;Lost
Seal Point Siamese (senior);Brown/White;2012-09-21;2012-09-25;Mystery;M/N;Lost
Blue Point Himalayan;Beige with blue eyes;2012-09-25;2012-09-25;Aslan;M/N;Lost
DSH;Black w/Grey Markings;2012-09-23;2012-09-26;Tia;F/S;Lost
Toy German Spitz;Brown/White;2012-09-26;2012-09-27;Bailey;F;Lost
DMH;White;2012-09-20;2012-09-28;Lelu;F/S;Lost
DSH;Black;2012-09-27;2012-09-28;Joey;M/N;Lost
Labrador;Chocolate brown;2012-09-28;2012-09-29;Roscoe;M;Matched
Labrador;Brown;2012-09-28;2012-09-29;N/A;X;Matched
DSH;Orange;2012-09-28;2012-10-01;Ruby;F/S;Lost
Terrier Chihuahua;White and off blonde;2012-10-02;2012-10-02;Luck Luck;M;Matched
Pug;Fawn;2012-10-04;2012-10-04;Puglet;F;Lost
American Eskimo;White;2012-10-05;2012-10-05;Lulu;F;Lost
Maltese X;Tan/Brown;2012-10-05;2012-10-05;Mocha;M/N;Matched
DSH;Brownish/Grey - Torbie;2012-09-26;2012-10-05;Lucille;F/S;Lost
Yorkshire Terrier;light Brown;2012-10-07;2012-10-07;Betty;;Matched
Icelandic Sheepdog;Tan/White;2012-10-10;2012-10-10;Odin;M/N;Matched
Collie / Shiba Inu;Brown/white;2012-10-11;2012-10-11;Splinter;M/N;Lost
Sheepdog X  Shiba (short legs);Brown w/white belly & tip tail;2012-10-11;2012-10-11;Splinter;M/N;Matched
Terrier X;Red/Brown;2012-10-11;2012-10-11;Zim;M;Matched
Labrador;Brown;2012-10-17;2012-10-17;Lou Lou;F/S;Matched
Zebra Finch;Light Brown/stripes on tail;2012-10-09;2012-10-18;;X;Lost
Beagle;Tan/White/Black;2012-10-20;2012-10-20;Pasha;F;Lost
DSH;grey tabby cat;2012-10-20;2012-10-20;Cleo;F;Lost
DLH Maine Coon Cat;Brown/Grey/Black;2012-10-19;2012-10-23;Anakin;M/N;Lost
Min Schauzer;Salt & Pepper;2012-10-24;2012-10-24;Pizza;M;Matched
Border Collie;Black/White;2012-10-28;2012-10-28;Licorish;F;Matched
Pomeranian;White w/Gold;2012-10-30;2012-10-30;Handsome;M/N;Lost
Min Poodle;White;2012-10-30;2012-10-30;Moxy;;Matched
Pug;Black;2012-10-27;2012-10-30;Daisy;F/S;Lost
Pug;Black;2012-10-27;2012-10-30;Popeye;M/N;Lost
Golden Doodle;Blonde;2012-10-30;2012-10-30;Zorro;M/N;Matched
Labrador;Black;2012-11-02;2012-11-02;Ellie;F/S;Matched
Pom;Sable;2012-11-04;2012-11-04;Zeus;M;Lost
Amer. Eskimo;White;2012-11-03;2012-11-05;Lu Lu;M;Matched
German Shep X Border Collie;Black / White;2012-11-05;2012-11-06;Ozzie;M;Lost
Black;Dacshund;2012-11-05;2012-11-06;Houdini;M/N;Matched
Shitzu X;White / Black;2012-11-06;2012-11-07;Elvis;M;Lost
Lab;Black;2012-11-08;2012-11-08;Pitch;F/S;Lost
Munsterlander;Brown/White;2012-11-08;2012-11-08;Gee;M/N;Matched
DSH;Black and grey;2012-11-11;2012-11-11;Unknown;X;Lost
Husky/Wolf X;Grey;2012-11-13;2012-11-14;Coda;X;Lost
DMH;Orange;2012-11-13;2012-11-14;Gwatz;X;Lost
Pumi (Dog);Black;2012-11-14;2012-11-15;Caju;M;Lost
Mastiff;Tan;2012-11-14;2012-11-15;Odin;M;Lost
DSH;Black w/white chest;2012-11-21;2012-11-22;Misty;M/N;Lost
American Eskimo;White;2012-11-26;2012-11-26;Keesha;F;Matched
Lab;Black;2012-11-27;2012-11-27;Prince;M;Lost
Poodle;Grey;2012-11-27;2012-11-28;Kunje;M;Lost
Shiba Inu;Orange;2012-11-28;2012-11-28;Sushi;F/S;Matched
Catahoula Shep Dog;Tri Colour;2012-11-28;2012-11-28;Kali;F/S;Lost
Corgi X;blonde;2012-12-01;2012-12-01;;M;Matched
Cockatiel;Pied;2012-12-02;2012-12-05;Tweety Bird;X;Lost
W/H Dachshund;Wild Boar;2012-12-06;2012-12-06;Chloe;F/S;Lost
Husky X Shepherd;White/Black;2012-12-06;2012-12-06;Luna;F/S;Matched
Lab x Shepherd;Golden;2012-12-07;2012-12-07;Bo;M/N;Lost
Pom;Sable;2012-12-08;2012-12-08;Gucci;M/N;Lost
Boxer;Tan w/ White;2012-11-27;2012-12-18;Tandie;F/S;Lost
Lab;Black;2012-12-19;2012-12-19;Briee;F/S;Lost
Miniature Australian Shephard;Black;2012-12-22;2012-12-22;Ayesha;F;Lost
DSH;Grey/Brown Tabby;2012-12-25;2012-12-27;Barney;M;Lost
Bird;Grey;2012-12-30;2012-12-30;Darwin;X;Lost
Poodle X Min Pin X;Black;2012-12-30;2012-12-30;Kuro (or responds to Makuro);M;Matched
Labs;Brown;2012-12-30;2012-12-30;Coco and Moko;F;Lost
Unsure;white or Beige;2012-12-30;2012-12-30;Scoodle;F;Lost
Siamese X;Light grey & white (blue eyes);2013-01-01;2013-01-03;Merlin;M;Lost
DMH;Brown Tabby w/White Belly;2013-01-02;2013-01-07;Tigger;M/N;Lost
DSH;Black/White Tuxedo;2013-01-05;2013-01-07;Pinky (aka Rocky);M;Matched
Pug;Fawn;2012-12-28;2013-01-09;Chi-Ball;M;Lost
DMH;Ginger Tabby;2013-01-12;2013-01-12;Booster;M;Lost
Toy Poodle;Black;2013-01-16;2013-01-14;Truffle;F/S;Lost
French Bulldog;Brown;2013-01-16;2013-01-17;Roxy;F/S;Lost
Pit Bull X;Tan w/White - Blk Muzzle;2013-01-12;2013-01-19;Gucci;F/S;Matched
Shepherd X;Brown / Tan;2013-01-25;2013-01-25;Jessie;F/S;Matched
Lab;Black;2013-01-26;2013-01-26;Lucky;M;Matched
DSH Cat (Kitten);Grey/white;2013-01-28;2013-01-29;Toulouse;M;Lost
Schnauzer;Grey/White;2013-02-05;2013-02-05;Harley;X;Matched
DSH;Black;2013-02-06;2013-02-09;Gypsy;F/S;Lost
Samoyed;White;2013-02-09;2013-02-09;Lulu;F;Lost
Shih Tzu;White;2013-02-14;2013-02-14;;F;Matched
Maltese;White;2013-02-24;2013-02-24;Calvin;M;Matched
Sheba Inu;Red and White;2013-02-27;2013-02-27;Omitsu;F/S;Matched
Unknown Breed;Tan w/white on belly;2013-03-04;2013-03-04;Cleo;F/S;Lost
Great Dane X;Black;2013-03-04;2013-03-04;Lyric;F;Matched
Chihuauhua X Pom;Tan;2013-03-11;2013-03-11;?;;Matched
Chihuahua;White w/Brown Spots;2013-03-12;2013-03-13;Blue;M;Matched
Husky;White;2013-03-16;2013-03-16;Koda;M;Lost
Lab x rotti;Reddish - Brown;2013-03-16;2013-03-16;Yukon;M/N;Lost
Lab;White;2013-03-17;2013-03-17;Sam;M;Lost
Jack Russell Terrier;White;2013-03-17;2013-03-17;Hamlet;M;Matched
Maltese X Shih Tzu;Blonde;2013-03-17;2013-03-18;Sophie;F/S;Matched
German Shepherd;Black/Tan;2013-03-17;2013-03-18;Kongo;M;Lost
DSH Tabby Cat;Black & grey/tan;2013-03-09;2013-03-19;Lucia;F/S;Lost
Border Collie X;Black w/White paws,tail, chest;2013-03-19;2013-03-19;Teegan;F/S;Lost
Pitbull;Beige & White;2013-03-22;2013-03-22;Zolo;M;Lost
Shepherd X Rotti;Black and Brown;2013-03-22;2013-03-22;Ada;F;Lost
Whippet/pointer X;Brown and White;2013-03-22;2013-03-22;Bagel;M/N;Lost
lab  and 2nd dog German Sheper;Chocholate / Black & tan;2013-03-23;2013-03-23;;F;Matched
Corgi;Black;2013-10-17;2013-10-17;Ceetouie;M/N;Matched
DSH;Black;2013-10-17;2013-10-17;Sudan;M;Lost
Miniature Schnauzer;Grey;2013-10-18;2013-10-18;Dayton;M;Lost
Lab X;Golden;2013-10-18;2013-10-18;Charlie;M;Matched
Chicken - hen;Brown;2013-10-18;2013-10-18;;F;Matched
Lab X;Yellow;2013-10-20;2013-10-20;Charlie;M;Matched
Wheaten Terrier;Wheaton;2013-10-21;2013-10-21;Brooks;M/N;Lost
Jack Russell Terrier;Brown;2013-10-21;2013-10-22;Rocky;M/N;Lost
Min. Munster Lander;Brown;2013-10-22;2013-10-22;Tucker;M;Lost
DSH Tabby;Apricot;2013-10-26;2013-10-26;;F;Lost
Boston Terrier;Black;2013-10-26;2013-10-27;Monte;M;Lost
Rottie X;Tan;2013-10-29;2013-10-29;Ginger;F/S;Lost
Bichon Frise;Cream;2013-10-29;2013-10-29;Baxter;X;Lost
Maltese;Tan;2013-10-29;2013-10-29;Taz;M;Lost
Maltese;Grey;2013-11-01;2013-11-01;Obo;M;Lost
Shiba Inu;Cream;2013-11-01;2013-11-02;Kiwi;M;Matched
Siberian Husky;Black;2013-11-04;2013-11-04;Nuka;F;Matched
Cane Corso;Red;2013-10-30;2013-11-04;Duke;M;Matched
Labrador;Black;2013-11-10;2013-11-10;Porter;M/N;Matched
;Brown;2013-11-10;2013-11-10;Minxy;F;Lost
Rottie X;Black;2013-11-11;2013-11-11;"""RUPERT""";M/N;Matched
Chihuahua;Brown;2013-11-11;2013-11-12;Charlie;;Lost
Lab X;Black;2013-11-13;2013-11-13;Bandit;M;Matched
DMH;Grey;2013-10-12;2013-11-14;Winter;F/S;Lost
Cocker Spaniel;Golden;2013-11-17;2013-11-17;;F;Lost
Shih Tzu;White;2013-11-18;2013-11-18;Rocky;M;Lost
DSH Cat;Black;2013-11-19;2013-11-19;Hank;M;Lost
DSH;Orange;2013-11-17;2013-11-21;Philippa Seymour;M;Lost
.Unknown Breed Mix;Black;2013-11-25;2013-11-25;Wendy;F;Lost
Bullmastiff;White;2013-11-28;2013-11-28;Teeka;F;Lost
Aust. Cattle Dog;Cream;2013-11-28;2013-11-28;Kaya;F;Matched
Labrador;Yellow;2013-12-07;2013-12-07;Mellow;F;Lost
Golden Retriever;Golden;2013-12-08;2013-12-08;Bailey;M;Matched
Rottweiler;Black;2013-12-08;2013-12-09;Raider;M;Lost
Lab X;Black;2013-12-10;2013-12-10;Rosy;F/S;Matched
Pit Bull;Tan;2013-12-15;2013-12-15;Porter;M/N;Lost
Labrador;Cream;2013-12-18;2013-12-18;Sam;M;Matched
Labrador;Yellow;2013-12-19;2013-12-19;Bella;F;Lost
DLH;Brown;2013-12-20;2013-12-20;Xiao Mo;F;Lost
French Bulldog;White;2013-12-21;2013-12-21;Poppins;F;Lost
Terrier X;Black;2013-12-22;2013-12-22;Dixie;F;Lost
West Highland Terrier;White;2013-12-24;2013-12-24;Moe;M/N;Lost
Toy Poodle;;2013-12-24;2013-12-24;Roo;F;Matched
.Unknown Breed Mix;White;2013-12-27;2013-12-27;Artu;M/N;Lost
Yorkshire Terrier;Grey;2013-12-28;2013-12-28;Cocoa;F;Lost
Cat;Black;2013-12-29;2013-12-29;BJ;M/N;Lost
Toy Poodle;Cream;2013-12-30;2013-12-30;BOBO;;Lost
Pug X;Fawn;2013-12-23;2014-01-06;Rongrong;F/S;Lost
Border Collie;Black;2014-01-08;2014-01-08;Marley;F;Matched
Vizsla;Tan;2014-01-12;2014-01-13;Mia;F;Matched
Cairn Terrier;Grey;2014-01-13;2014-01-13;Gracie;F;Lost
.Unknown Breed Mix;Brown;2014-01-13;2014-01-13;Junior;M;Lost
.Unknown Breed Mix;Grey;2014-01-14;2014-01-14;Zander;M;Lost
;Brown;2014-01-15;2014-01-15;Lynx;M;Lost
Miniature Pinscher;Brown;2014-01-20;2014-01-20;Knuckle;M;Matched
.Unknown Breed Mix;Grey;2014-01-18;2014-01-20;Fiona;F;Lost
Boxer;Tan;2014-01-26;2014-01-26;Kayla;F;Matched
Shiba Inu;Yellow;2014-01-27;2014-01-27;Bebe;F;Lost
.Unknown Breed Mix;Black;2014-01-28;2014-01-28;Makiska;F;Lost
Labrador;Black;2014-02-02;2014-02-02;Zoe;F/S;Lost
Chihuahua;Tan;2014-02-04;2014-02-04;Peanut;M;Lost
Kerry Blue Terrier;Black;2014-02-06;2014-02-06;Murphy;M/N;Matched
Husky X;Black;2014-02-12;2014-02-12;Tundra;F/S;Lost
Brittany Spaniel;White;2014-02-15;2014-02-15;Skylar;F;Matched
Miniature Pinscher;Black;2014-02-16;2014-02-16;Brodie;M;Lost
Schnauzer;Grey;2014-02-18;2014-02-18;Baxter;M;Matched
