ahfs_code,drugbank_id
28:12.92,DB06218
20:12.04.14,DB06228
84:92.00,DB06243
36:89.00*,DB06261
92:36.00,DB06273
92:22.00,DB06285
68:24.08,DB06285
10:00.00,DB06287
08:18.40.20,DB06290
68:20.18,DB06292
10:00.00,DB06317
68:20.05,DB06335
10:00.00,DB06366
08:12.28.16,DB06402
48:48.00,DB06403
92:32.00,DB06404
08:18.08.16,DB06414
56:92.00,DB06480
10:00.00,DB06589
10:00.00,DB06595
48:10.20,DB06602
20:12.04.14,DB06605
10:00.00,DB06607
92:44.00,DB06612
08:18.28,DB06614
10:00.00,DB06616
10:00.00,DB06626
08:14.08,DB06636
92:92.00,DB06637
92:24.00,DB06643
10:00.00,DB06650
28:36.32,DB06654
68:20.06,DB06655
68:29.04,DB06663
92:36.00,DB06674
28:16.04.24,DB06684
28:04.16,DB06690
20:28.16,DB06692
04:00.00,DB06694
52:32.00,DB06694
20:12.04.12,DB06695
28:92.00,DB06698
92:00.00,DB06698
10:00.00,DB06699
92:40.00,DB06699
28:16.04.16,DB06700
86:12.04,DB06702
36:89.00*,DB06703
36:89.00*,DB06709
52:32.00,DB06711
68:36.08,DB06715
48:16.00,DB06715
88:29.00*,DB06715
56:22.92,DB06717
56:22.32,DB06717
10:00.00,DB06719
92:00.00,DB06719
44:00.00,DB06720
56:04.00,DB06723
84:04.92,DB06723
56:04.00,DB06724
88:29.00*,DB06724
40:12.00,DB06724
20:12.04.16,DB06754
88:04.00,DB06755
56:16.00,DB06756
92:92.00,DB06756
88:29.00*,DB06757
40:12.00,DB06757
48:36.00,DB06761
52:32.00,DB06764
40:04.00,DB06767
10:00.00,DB06769
52:04.04,DB06771
10:00.00,DB06772
84:24.04,DB06774
40:10.00,DB06775
20:12.04.16,DB06779
52:08.08,DB06781
64:00.00,DB06782
92:40.00,DB06785
92:92.00,DB06791
40:18.19,DB06792
52:02.00,DB06794
08:36.00,DB06799
56:92.00,DB06800
52:08.20,DB06802
20:16.00,DB06809
24:16.00,DB06811
40:36.00,DB06812
84:04.92,DB06812
10:00.00,DB06813
84:28.00,DB06815
84:04.92,DB06815
08:18.08.12,DB06817
