"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Heritage","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1564419","OF5","81310","89408","Capability Management","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003309","C1","38095","44268","Project Support Officer","47.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OR1-3","17515","28940","Military","8994.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047464","OF5","81310","89408","Capability Management","2.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D MSF","23427","29092","Direct Military Support","5.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","OF4","67032","77617","Other","20.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","Skill Zone 4","23240","24930","Technical [Trades]","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Project Planning & Scheduling","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003309","C2","29258","36333","Project Support Officer","58.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OR1-3 (RFA)","17265","28940","Capability Management & Force Generation","788.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","E1","18370","22124","Administrative Support","48.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","OF5","81310","89408","Other","6.00","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","126796","OF5","81310","89408","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1596792","E1","18370","22124","Transport/Movement","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Safety Management","5.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003309","D","23427","29092","Project Support Officer","23.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1479775","OF5","81310","89408","Capability Management","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OR4","30861","33182","Military","3638.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","E1","18370","22124","Corporate Support","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","OR1-3","17515","28940","Other","635.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","D","23427","29092","Audit and Assurance","1.00","Internal Audit"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Geospatial Analyst","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003309","E1","18370","22124","Project Support Officer","19.50","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OR4 (RFA)","26405","33182","Capability Management & Force Generation","183.00","Military"
