"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","3C","30644","38760","Corporate Social Responsibility Manager","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3B","27418","34680","Credit Manager","1.00","Finance"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","CSC MI Specialist","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","2B","20543","25985","CSC Service Advisor","16.28","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","CSC Service Delivery Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Data Lab Research Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","1C","14919","18870","Data Supply Officer","4.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Data Supply Specialist","3.16","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Data Supply Technician/Tester1","4.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","2","1C","14919","18870","DC&M Admin & Tech Support","12.11","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","2","3A","25749","31620","DC&M Consultant","18.61","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","2","2B","20543","25985","DC&M Data Controller","13.35","Operational Delivery"
