"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G6","61200","75200","Senior Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G7","48400","61000","Legal Adviser","4.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G6","61200","75200","Senior Legal Adviser","11.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","G7","48400","61000","Legal Adviser","19.21","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","G6","61200","75200","Senior Legal Adviser","14.40","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team G - DWP","56","EO","25150","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","SEO","36250","43000","Operational Manager","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","HEO","29550","35000","Operational Manager","30.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","G7","48400","61000","Operational Team Manager","3.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","G6","61200","75200","Operational Team Manager","3.61","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","EO","25150","30000","Operational Officer","16.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Business Support","126","AO","21850","23800","Operational Support Officer","14.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","SEO","36250","43000","Business Analyst","5.00","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Business Analyst","8.80","Programme and Project Management (PPM)"
"Attorney General's Office","Government Legal Department","Corporate Resources Group - Change","128","HEO","29550","35000","Developer","3.00","Programme and Project Management (PPM)"
