Property Address,RATEPAYER,RV,LIABILITY_START
"Unit G6a, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",Brogan Business Parks Ltd,3600,01/04/2016
"Unit 7, South Street, Halifax, HX1 2EL",,3750,20/11/2011
"59/61 Bradford Road, Brighouse, HD6 1RS",,6700,30/07/2016
"Office 20, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1900,09/10/2015
"First Floor, Surefix Motoring Centre, Portland Place, Halifax              HX1 2QN",,5300,20/06/2016
"Office 19, The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8ND",The Spire Halifax Ltd,2600,07/03/2016
"Office 16/17 The Spire, Leeds Road, Halifax, HX3 8NU",The Spire Halifax Ltd,4800,07/03/2016
"Part Units 4/5, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",Blackshaw Holdings Ltd,5800,04/04/2016
"Room 12, The Spire, Leeds Road, Halifax             HX3 8NU",The Spire Halifax Ltd,2425,07/03/2016
"2nd Floor, The Spire, Leeds Road, Halifax             HX3 8NU",The Spire Halifax Ltd,9700,07/03/2016
"Office 10 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",The Spire Halifax Ltd,6000,07/03/2016
"Office 20, The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",The Spire Halifax Ltd,2400,07/03/2016
"Office 8 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",The Spire Halifax Ltd,1075,07/03/2016
"Offices 2,3,6,9,14&15, The Spire, Leeds Road, Lightcliffe          HX3 8NU",The Spire Halifax Ltd,12000,07/03/2016
"Office 7, The Spire, Leeds Road, Lightcliffe          HX3 8NU",The Spire Halifax Ltd,1575,07/03/2016
"1 Catherine Street, Elland, HX5 0EZ",Jr Property And Restorations Ltd,7200,07/03/2016
"Part First Floor, I E S House, Mission Street, Brighouse            HD6 1NQ",Oakwood Development (Holdings) Ltd In Administration,10250,23/07/2016
"118 Hanson Lane, Halifax, HX1 5PG",,2075,02/01/2016
"Unit 2 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",,1250,01/04/2014
"Shop 1 Croft Mill, Hebden Bridge, HX7 8AS",,9000,08/07/2016
"Unit 6, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",Younger Homes ( Northern ) Ltd,11750,02/06/2016
"Unit 1 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",,1800,01/03/2015
"Unit 5 Park Road Mills, Park Road, Elland, HX5 9HX",V-Seal Ltd,29250,18/07/2016
"149 Shay Lane, Halifax, HX3 6RR",,5800,01/11/2015
"4 Atlas Mill Road, Brighouse, HD6 1ES",,3800,01/08/2016
"Atm C'Tronic (E/Bnd Pfs), Hartshead Moor Service Area, Hartshead Moor, HD6 4JX",Cardtronics Uk Ltd,900,01/04/2010
"Atm C'Tronic E Bound, Hartshead Moor Service Area, Hartshead Moor, HD6 4JX",Cardtronics Uk Ltd,1300,01/04/2010
"Atm C'Tronic (W/Bnd Pfs), Hartshead Moor Service Area, Hartshead Moor, HD6 4JX",Cardtronics Uk Ltd,1300,01/04/2010
"Welcome Break, Hartshead Moor Service Area, Hartshead Moor, HD6 4JX",Welcome Break Group Plc,1290000,01/04/2010
"4 Dale Street, Todmorden, OL14 5PX",,1550,08/07/2016
"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",P I Consultants Limited,4650,01/02/2016
"Unit W5, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,8000,27/12/2015
"Unit W6, Tenterfield Business Park, Luddendenfoot, Halifax             HX2 6EQ",Brogan Business Parks Ltd,7300,27/12/2015
"Unit W3, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",P I Consultants Limited,3500,24/01/2016
"109 Wakefield Road, Lightcliffe, Halifax, HX3 8SH",,7100,16/05/2016
"Unit 18 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",Setbray Properties Ltd,1700,01/07/2016
"Unit 11 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,1025,01/04/2016
"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",Resource Medical (Uk) Ltd,13750,07/07/2016
"Trafalgar Inn, Aachen Way, Halifax, HX1 3ND",Resource Medical (Uk) Ltd,12250,07/07/2016
"Unit 5C Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,4250,07/07/2016
"Market Stall 82-84, Market Hall, Borough Market, Halifax             HX1 1DZ",,7600,11/07/2016
"Unit 3, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",Warmco Space Heating Ltd,4750,01/04/2016
"26 Cheapside, Halifax, HX1 1TQ",Keighley Discount Furnishers Ltd,24500,17/02/2014
"Birds Royd Lane, Brighouse, HD6 1LQ",Anthony Piccioni,30000,28/07/2016
