Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Delivery & Front Line Services,Supplies and Services,1325/34105,Waste Disposal Service,34105,13/07/2017,inv0040065,1079.60,General Fund,Gwilliam Recycling,17583
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Delivery & Front Line Services,Supplies and Services,1339/34014,Other Professional Fees,34014,13/07/2017,inv0040002,1460.80,General Fund,City of York Council,17280
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Highways and Transprt Services,1A5,Parking Services,1501,Customer Service,Supplies and Services,1501/34107,Hired Services - General,34107,13/07/2017,inv0039771,510.00,General Fund,Parkeon Ltd,17534
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Highways and Transprt Services,1A5,Parking Services,1501,Customer Service,Supplies and Services,1501/34110,Security Services,34110,13/07/2017,inv0040080,578.10,General Fund,Security Plus + Limited,21090
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2222/35104,Software Charges,35104,13/07/2017,inv0040006,3237.50,Control Holding and SU Accnts,Civica UK Ltd,17461
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20202/VR102,Transport Parts & Materials,20202,13/07/2017,inv0039918,80.64,Control Holding and SU Accnts,Dennis Eagle Ltd,17295
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20202/VR102,Transport Parts & Materials,20202,13/07/2017,inv0039918,72.50,Control Holding and SU Accnts,Dennis Eagle Ltd,17295
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20202/VR102,Transport Parts & Materials,20202,13/07/2017,inv0039918,157.34,Control Holding and SU Accnts,Dennis Eagle Ltd,17295
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20202/VR102,Transport Parts & Materials,20202,13/07/2017,inv0039918,15.84,Control Holding and SU Accnts,Dennis Eagle Ltd,17295
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20202/VR110,Transport Parts & Materials,20202,13/07/2017,inv0039913,79.32,Control Holding and SU Accnts,Dennis Eagle Ltd,17295
